No	発売日	タイトル	メーカー	価格
355	1993/7/23	ＷＷＦロイヤルランブル	アクレイム ジャパン	9800
356	1993/7/23	バトルドッジボールⅡ	バンプレスト	9600
357	1993/7/29	スーパーＦ１サーカス２	日本物産	9500
358	1993/7/30	ニトロパンクス マイトヘッズ	アイレム	8800
359	1993/7/30	パティームーン	バリエ	8900
360	1993/7/30	クレヨンしんちゃん 嵐を呼ぶ園児	バンダイ	9500
361	1993/7/30	宇宙の騎士テッカマンブレード	ベック	8800
362	1993/7/30	ソニックウイングス	ビデオシステム	8900
363	1993/7/30	美少女雀士スーチーパイ	ジャレコ	9700
364	1993/7/30	大爆笑人生劇場 ドキドキ青春編	タイトー	8800
365	1993/8/5	スーパー信長の野望・全国版	光栄	8800
366	1993/8/6	聖剣伝説２	スクウェア	9800
367	1993/8/6	ソード・ワールドＳＦＣ	T&Eソフト	9800
368	1993/8/6	くにおくんのドッジボールだよ全員集合！	テクノスジャパン	9600
369	1993/8/6	Ｊリーグサッカー プライムゴール	ナムコ	8500
370	1993/8/6	スーパーパワーリーグ	ハドソン	9500
371	1993/8/6	ヒューマンベースボール	ヒューマン	8600
372	1993/8/6	大仁田厚「ＦＭＷ」  キミは時代よる熱くなれるか	ポニーキャニオン	9800
373	1993/8/10	スーパー競馬	アイマックス	9700
374	1993/8/12	ワールドヒーローズ	サンソフト	9800
375	1993/8/20	スーパースラップショット	アルトロン	8500
376	1993/8/27	美少女戦士セーラームーン	エンジェル	9800
377	1993/8/27	サラブレッドブリーダー	ヘクト	9700
378	1993/8/27	マリオとワリオ	任天堂	6800
379	1993/8/27	樹帝戦紀	エニックス	9600
380	1993/8/27	ＭＶＰベースボール	アクレイム ジャパン	8800
381	1993/8/27	Ｘ ＺＯＮＥ	ケムコ	6500
382	1993/8/27	ＤＥＳＴＲＵＣＴＩＶＥ  (デストラクティブ)	バンダイ	6800
383	1993/9/3	スーパータリカン	トンキンハウス	7500
384	1993/9/10	サンダーバード　　国際救助隊出動せよ	コブラチーム	8800
385	1993/9/10	ラスベガスドリーム	イマジニア	9800
386	1993/9/10	ウイニングポスト	光栄	12800
387	1993/9/10	ミスティッククエスト	スクウェア	7900
388	1993/9/14	新日本プロレスリング 超戦士 ＩＮ 闘強導夢	バリエ	9800
389	1993/9/17	課長 島耕作 スーパービジネスアドベンチャー	ユタカ	9800
390	1993/9/17	ＮＦＬフットボール	コナミ	9000
391	1993/9/17	ファイナルセット	フォーラム	8500
392	1993/9/19	トルネコの大冒険 不思議のダンジョン	チュンソフト	9600
393	1993/9/22	戦国伝承	データイースト	8800
394	1993/9/22	マスターズ 遙かなるオーガスタ２	T&Eソフト	9900
395	1993/9/23	ＳＤ機動戦士ガンダム２	エンジェル	8800
396	1993/9/23	ＧＳ美神 除霊師はナイスバディ (ゴーストスイーパー美神）	バナレックス	8800
397	1993/9/24	ダライアスフォース	タイトー	8800
398	1993/9/24	ＧＯ！ＧＯ！ドッジリーグ	パック・イン・ビデオ	7800
399	1993/9/24	本格麻雀 徹萬	ナグザット	7800
400	1993/9/30	東尾修監修 スーパープロ野球スタジアム	徳間書店インターメディアカンパニー	8900
401	1993/10/1	ＴＲＩＮＥＡ -トリネア-	やのまん	9800
402	1993/10/1	レッド・オクトーバー	アルトロン	8800
403	1993/10/1	スーパー３Ｄベースボール	ジャレコ	12800
404	1993/10/8	バイキングの大迷惑	T&Eソフト	8800
405	1993/10/8	スーパー競走馬 風のシルフィード	キングレコード	9300
406	1993/10/15	スズカエイトアワーズ	ナムコ	8800
407	1993/10/21	スーパーカジノ シーザースパレス	ココナッツジャパンエンターテイメント	8900
408	1993/10/22	ミラクルガールズ ともみとみかげの不思議世界の大冒険	タカラ	8800
409	1993/10/22	ＡＲＣＵＳ ＳＰＩＲＩＴＳ (アークス・スピリッツ)	サミー	8900
